NR_CONVENIO;ID_PROPOSTA;DIA;MES;ANO;DIA_ASSIN_CONV;SIT_CONVENIO;SUBSITUACAO_CONV;SITUACAO_PUBLICACAO;INSTRUMENTO_ATIVO;IND_OPERA_OBTV;NR_PROCESSO;UG_EMITENTE;DIA_PUBL_CONV;DIA_INIC_VIGENC_CONV;DIA_FIM_VIGENC_CONV;DIAS_PREST_CONTAS;DIA_LIMITE_PREST_CONTAS;SITUACAO_CONTRATACAO;QTDE_CONVENIOS;QTD_TA;QTD_PRORROGA;VL_GLOBAL_CONV;VL_REPASSE_CONV;VL_CONTRAPARTIDA_CONV;VL_EMPENHADO_CONV;VL_DESEMBOLSADO_CONV;VL_SALDO_REMAN_TESOURO;VL_SALDO_REMAN_CONVENENTE;VL_RENDIMENTO_APLICACAO;VL_INGRESSO_CONTRAPARTIDA
789952;722642;26;12;2013;26/12/2013;Em execução;;Publicado;SIM;SIM;364402013;175004;09/01/2014;26/12/2013;05/11/2017;60;04/01/2018;Normal;1;1;;1611000;1482100;128900;1482100;119473,56;;;;15993,15
775957;623111;28;12;2012;28/12/2012;Em execução;;Publicado;SIM;NÃO;038043/2012;110669;16/01/2013;28/12/2012;31/03/2018;60;30/05/2018;Normal;1;3;;495076;294881,72;200194,28;294881,72;294881,72;;;;200194,28
768388;446085;29;12;2011;29/12/2011;Prestação de Contas Aprovada;;Publicado;NÃO;NÃO;023314/2011;135098;11/01/2012;29/12/2011;01/09/2013;60;31/10/2013;Normal;1;1;;510000;390000;120000;390000;390000;83275,62;;;98588,24
770907;585306;29;6;2012;29/06/2012;Prestação de Contas enviada para Análise;;Publicado;SIM;NÃO;00036.000771/2012-31;200262;05/07/2012;29/06/2012;18/10/2017;60;17/12/2017;Normal;1;4;1;110000;100000;10000;100000;100000;134045,45;14893,94;;10000
832852;1058124;24;6;2016;24/06/2016;Em execução;;Publicado;SIM;SIM;69022016;135098;27/06/2016;24/06/2016;24/06/2018;60;23/08/2018;Normal;1;;;250000;243750;6250;243750;243750;;;;6250
798827;797559;31;12;2013;31/12/2013;Prestação de Contas em Complementação;;Publicado;SIM;SIM;866412013;135098;09/01/2014;31/12/2013;28/03/2016;60;27/05/2016;Normal;1;1;;301000;273000;28000;273000;273000;;;;28000
835647;1064084;30;12;2016;30/12/2016;Em execução;;Publicado;SIM;SIM;120812016;135098;16/01/2017;30/12/2016;29/06/2018;60;28/08/2018;Normal;1;;;100000;97500;2500;97500;97500;;;;2500
754033;361816;31;12;2010;31/12/2010;Convênio Anulado;;Publicado;NÃO;NÃO;25100043471201100;255000;18/01/2011;31/12/2010;23/12/2013;60;21/02/2014;Normal;1;3;;200000;195000;5000;0;;;;;
756973;478742;13;12;2011;13/12/2011;Prestação de Contas Aprovada;;Publicado;NÃO;NÃO;045152/2011;175004;15/12/2011;13/12/2011;25/11/2013;60;24/01/2014;Normal;1;6;;440383,61;394200;46183,61;394200;394200;7886,24;;;46183,61
816994;942246;3;7;2015;03/07/2015;Prestação de Contas enviada para Análise;;Publicado;SIM;SIM;21000003337201500;420013;10/08/2015;03/07/2015;21/12/2015;60;19/02/2016;Normal;1;;1;101898;100000;1898;100000;100000;41980,6;796,79;;1898
807857;887648;19;8;2014;19/08/2014;Aguardando Prestação de Contas;;Publicado;SIM;SIM;25000118489201400;257001;04/09/2014;19/08/2014;12/10/2017;60;11/12/2017;Normal;1;1;2;300000;300000;0;300000;300000;;;;
781258;659273;28;12;2012;28/12/2012;Em execução;;Publicado;SIM;SIM;23079.063786/2012-20;153115;04/01/2013;28/12/2012;24/09/2018;0;24/09/2018;Normal;1;6;;468550;468550;0;468550;468550;;;;
812571;910930;14;4;2015;14/04/2015;Prestação de Contas em Complementação;;Publicado;SIM;SIM;1400041242201420;340051;15/04/2015;14/04/2015;23/11/2015;60;22/01/2016;Normal;1;;1;154510,8;123601,2;30909,6;123601,2;123601,2;;;;
776144;589627;26;12;2012;26/12/2012;Prestação de Contas Aprovada;;Publicado;NÃO;SIM;71001.031507/2012-95;330013;28/12/2012;26/12/2012;27/08/2014;60;26/10/2014;Normal;1;;1;153092,78;150000;3092,78;150000;150000;4302,12;88,7;;3092,78
785567;729382;19;12;2013;19/12/2013;Prestação de Contas Aprovada;;Publicado;NÃO;SIM;039962/2013;175004;27/12/2013;19/12/2013;28/02/2017;60;29/04/2017;Normal;1;2;;500575,83;493100;7475,83;493100;493100;11798,13;178,87;;7475,83
833439;1057353;30;8;2016;30/08/2016;Em execução;;Publicado;SIM;SIM;62532016;135098;06/09/2016;30/08/2016;31/03/2018;60;30/05/2018;Normal;1;;;152100;146250;5850;146250;;;;;
827799;1061499;16;12;2016;16/12/2016;Em execução;;Publicado;SIM;SIM;71001003980201600;330013;19/12/2016;16/12/2016;29/12/2017;60;27/02/2018;Normal;1;;1;132190;100000;32190;100000;100000;;;;44790
795276;712519;31;12;2013;31/12/2013;Em execução;;Publicado;SIM;SIM;8016016339201390;200324;02/01/2014;31/12/2013;31/12/2017;60;01/03/2018;Normal;1;2;1;988618,52;913598,25;75020,27;913598,25;913598,25;;;;75020,27
827904;1070923;4;11;2016;04/11/2016;Em execução;Em aditivação;Publicado;SIM;SIM;71001000067201700;330013;07/11/2016;04/11/2016;29/12/2018;60;27/02/2019;Normal;1;1;1;252042,54;235000;17042,54;235000;235000;;;;1000
836917;1108854;8;11;2016;08/11/2016;Em execução;;Publicado;SIM;SIM;25000154494201600;257001;18/11/2016;08/11/2016;27/07/2018;60;25/09/2018;Normal;1;;1;275000;275000;0;275000;275000;;;;
807938;887715;25;8;2014;25/08/2014;Prestação de Contas Aprovada;;Publicado;NÃO;SIM;25000118233201400;257001;29/08/2014;25/08/2014;29/09/2017;60;28/11/2017;Normal;1;2;2;235855,01;200000;35855,01;200000;200000;0;0;11544,99;35855,01
775821;621879;31;12;2012;31/12/2012;Prestação de Contas Aprovada;;Publicado;NÃO;NÃO;037548/2012;550015;11/01/2013;31/12/2012;30/10/2016;60;29/12/2016;Normal;1;6;;345148,25;280000;65148,25;280000;280000;26690,68;;;65148,25
807463;850972;18;7;2014;18/07/2014;Em execução;;Publicado;SIM;SIM;223662014;540007;25/07/2014;18/07/2014;31/03/2018;30;30/04/2018;Normal;1;1;;250000;243750;6250;243750;195000;;;;6189,35
763665;408275;30;12;2011;30/12/2011;Prestação de Contas Aprovada;;Publicado;NÃO;NÃO;002123/2011;135098;17/01/2012;30/12/2011;30/12/2013;60;28/02/2014;Normal;1;;;298500;292500;6000;292500;292500;11488,5;;;6000
826816;1067588;14;10;2016;14/10/2016;Em execução;;Publicado;SIM;SIM;60414000401201600;110594;17/10/2016;14/10/2016;31/05/2018;60;30/07/2018;Cláusula Suspensiva;1;;1;2161387,14;2157073;4314,14;2157073;;;;;
813588;904476;24;12;2014;24/12/2014;Prestação de Contas enviada para Análise;;Publicado;SIM;SIM;8020035219201410;200331;29/12/2014;24/12/2014;24/12/2016;60;22/02/2017;Normal;1;1;;372842;357928,32;14913,68;0;;;;;
838342;1120775;30;12;2016;30/12/2016;Aguardando Prestação de Contas;;Publicado;SIM;SIM;58000013207201600;180002;16/01/2017;30/12/2016;15/06/2017;60;14/08/2017;Normal;1;1;;161819,96;161603,96;216;161603,96;161603,96;;;;12710,09
842507;1134662;30;12;2016;30/12/2016;Em execução;;Publicado;SIM;SIM;25100019211201700;255000;19/01/2017;30/12/2016;31/12/2019;60;29/02/2020;Normal;1;;;1505000;1500000;5000;1500000;;;;;
761268;505886;26;12;2011;26/12/2011;Em execução;;Publicado;SIM;NÃO;063192/2011;180006;28/12/2011;26/12/2011;29/12/2017;30;28/01/2018;Normal;1;10;;113980,5;97500;16480,5;97500;97500;;;;7456,47
812173;870880;22;12;2014;22/12/2014;Aguardando Prestação de Contas;;Publicado;SIM;SIM;58701002213201500;180002;14/01/2015;22/12/2014;03/10/2016;60;02/12/2016;Normal;1;1;1;4448392,2;4368000;80392,2;4368000;4368000;;;;80392,2
780267;643099;28;12;2012;28/12/2012;Convênio Anulado;;Publicado;NÃO;NÃO;046342/2012;540007;17/01/2013;28/12/2012;30/06/2014;60;29/08/2014;Cláusula Suspensiva;1;;;330000;297000;33000;0;;;;;
774122;631399;31;12;2012;31/12/2012;Prestação de Contas Aprovada;;Publicado;NÃO;NÃO;042032/2012;135003;18/01/2013;31/12/2012;05/11/2014;1;06/11/2014;Liminar Judicial;1;3;;511000;500000;11000;500000;500000;29252,09;;;11000
772233;587461;5;9;2012;05/09/2012;Prestação de Contas Aprovada;;Publicado;NÃO;NÃO;018961/2012;135098;14/09/2012;05/09/2012;13/03/2015;60;12/05/2015;Normal;1;2;1;340000;292500;47500;292500;292500;25571;;;47500
775951;605306;20;12;2012;20/12/2012;Prestação de Contas Aprovada;;Publicado;NÃO;NÃO;030084/2012;135003;24/12/2012;20/12/2012;20/12/2015;1;21/12/2015;Normal;1;1;;105000;102000;3000;102000;102000;20228,9;;;3000
785566;728580;12;9;2013;12/09/2013;Convênio Anulado;;Publicado;NÃO;SIM;039522/2013;175004;23/09/2013;12/09/2013;12/09/2015;60;11/11/2015;Cláusula Suspensiva;1;;;1010000;987600;22400;987600;;;;;
797249;735643;31;12;2013;31/12/2013;Prestação de Contas Aprovada;;Publicado;NÃO;SIM;439552013;135098;17/01/2014;31/12/2013;20/06/2016;60;19/08/2016;Normal;1;1;;150100;146250;3850;146250;146250;5975,71;157,31;;3850
813628;919882;18;12;2014;18/12/2014;Prestação de Contas Aprovada com Ressalvas;;Publicado;NÃO;SIM;60414003077201400;110594;19/12/2014;18/12/2014;28/12/2016;60;26/02/2017;Normal;1;;2;364590;350000;14590;350000;350000;657,11;27,39;;14590
810175;895416;23;9;2014;23/09/2014;Prestação de Contas em Análise;;Publicado;SIM;SIM;25000138022201500;257001;13/10/2014;23/09/2014;04/04/2017;60;03/06/2017;Normal;1;1;2;200000;200000;0;200000;200000;26700,9;;;
754015;284972;17;2;2011;17/02/2011;Prestação de Contas em Complementação;;Publicado;SIM;NÃO;040395/2010;175004;23/09/2011;17/02/2011;30/07/2016;274;30/04/2017;Liminar Judicial;1;9;;149725,61;146950;2775,61;146950;146950;;;;
